Sample no#,Specimen no#,Flea species,flea subspecies/morphotype,total fleas,Females,Males,Slide,cox1,Fig5 (multigene),Fig6 (clades),Fig7 (haplotype),cox1 haplotype,Note,Clade 1,Cluster,ID,cox1,cox2,Histone H3,EF-1a,Continent,Country,State/Province/Island,Town/Region,Latitude,Longitude,Host scientific name,Host,Collection date,Collector,Notes
AL097,AL097-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684908.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL097,unprocessed ,Ctenocephalides felis,felis,4,3,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL098,AL098-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684909.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL098,unprocessed ,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL099,AL099-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684910.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL099,unprocessed ,Ctenocephalides felis,felis,20,9,11,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL100,AL100-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684911.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL1006,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1007,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1009,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL101,AL101-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684912.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"Specimens disposed - samples attached to 'sticky trap paper'; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL101,unprocessed ,Ctenocephalides felis,felis,4,3,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,No voucher - specimen crushed for DNA extraction
AL1010,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1011,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1013,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1014,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1015,unprocessed,Ctenocephalides canis,,2,1,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1016,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1017,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1018,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1019,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL102,unprocessed ,Ctenocephalides felis,felis,20,14,6,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL1020,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1021,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1022,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1023,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1024,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1025,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1026,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1027,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1029,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1030,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1031,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1032,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1033,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1034,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1035,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1036,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1037,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1038,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL104,AL104-1,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,PCR failed,,,,,,,,South America,Brazil,Minas Gerais,Pampulha,-19.8527,-43.9560,Canis lupus familiaris,rural community dogs,2008,Pedro Marcos Linardi & Juliana L�cia Costa Santos,PCR amplification failure due to specimen age and storgae (>5years in 70%ETOH at room temp).
AL104,AL104-2,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,PCR failed,,,,,,,,South America,Brazil,Minas Gerais,Pampulha,-19.8527,-43.9560,Canis lupus familiaris,rural community dogs,2008,Pedro Marcos Linardi & Juliana L�cia Costa Santos,PCR amplification failure due to specimen age and storgae (>5years in 70%ETOH at room temp).
AL104,AL104-3,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,PCR failed,,,,,,,,South America,Brazil,Minas Gerais,Pampulha,-19.8527,-43.9560,Canis lupus familiaris,rural community dogs,2008,Pedro Marcos Linardi & Juliana L�cia Costa Santos,PCR amplification failure due to specimen age and storgae (>5years in 70%ETOH at room temp).
AL104,AL104-4,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,PCR failed,,,,,,,,South America,Brazil,Minas Gerais,Pampulha,-19.8527,-43.9560,Canis lupus familiaris,rural community dogs,2008,Pedro Marcos Linardi & Juliana L�cia Costa Santos,PCR amplification failure due to specimen age and storgae (>5years in 70%ETOH at room temp).
AL104,AL104-5,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,PCR failed,,,,,,,,South America,Brazil,Minas Gerais,Pampulha,-19.8527,-43.9560,Canis lupus familiaris,rural community dogs,2008,Pedro Marcos Linardi & Juliana L�cia Costa Santos,PCR amplification failure due to specimen age and storgae (>5years in 70%ETOH at room temp).
AL104,unprocessed ,Ctenocephalides felis,felis,8,6,2,0,0,0,0,0,,,,,,,,,,South America,Brazil,Minas Gerais,Pampulha,-19.8527,-43.9560,Canis lupus familiaris,rural community dogs,2008,Pedro Marcos Linardi & Juliana L�cia Costa Santos,
AL1040,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1042,unprocessed,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,South Island,Dunedin,-45.8788,170.5028,Felis catus,owned cat,09-March-2016,Alistair Newbould,
AL1046,unprocessed,Ctenocephalides felis,felis,3,2,1,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,owned cat,07-March-2016,Mark Wiseman,
AL1048,unprocessed,Ctenocephalides felis,felis,7,6,1,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,feral cat,10-March-2016,Mark Wiseman,
AL105,unprocessed ,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,New South Wales,Camperdown,-33.8901,151.1799,Felis catus,owned cat,10-June-2013,Anne Fawcett,
AL1050,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,South Island,Dunedin,-45.8788,170.5028,Felis catus,owned cat,25-February-2016,Alistair Newbould,
AL1052,AL1052-1,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,,,,,,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,owned cat,02-February-2016,Mark Wiseman,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1052,AL1052-2,Ctenocephalides felis,felis,1,0,1,1,0,0,0,0,,,,,,,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,owned cat,02-February-2016,Mark Wiseman,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1052,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,owned cat,02-February-2016,Mark Wiseman,
AL1053,unprocessed,Ctenocephalides felis,felis,4,3,1,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,owned cat,12-February-2016,Mark Wiseman,
AL1055,unprocessed,Pulex irritans,,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,South Island,Gore,-46.0988,168.9458,Felis catus,owned cat,31-March-2016,Stephanie Williams,
AL1056,unprocessed,Pulex irritans,,1,0,1,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,South Island,Gore,-46.0988,168.9458,Canis lupus familiaris,owned dog,20-January-2016,Stephanie Williams,
AL1057,unprocessed,Pulex irritans,,1,1,0,0,0,0,0,0,,,,,,,,,,North America,Canada,Alberta,Athabasca,54.7214,-113.2862,Canis lupus familiaris,dog,28-November-2015,John Ulici,
AL1059,unprocessed,Ctenocephalides felis,felis,2,1,1,0,0,0,0,0,,,,,,,,,,Europe,Austria,Lower Austria,Neulengbach,48.1994,15.9088,Canis lupus familiaris,dog,20-June-2016,Caroline Marschner & Robert Heger,
AL106,unprocessed ,Ctenocephalides felis,felis,5,4,1,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Qamea Island,unknown,-16.7646,-179.7615,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL1062,unprocessed,Ctenocephalides felis,felis,3,3,0,0,0,0,0,0,,,,,,,,,,Europe,Austria,Lower Austria,Neulengbach,48.1994,15.9088,Felis catus,cat,25-June-2016,Caroline Marschner & Robert Heger,
AL1063,AL1063-1,Ctenocephalides felis,felis,1,0,1,1,0,0,0,0,,,,,,,,,,Europe,Austria,Lower Austria,Neulengbach,48.1994,15.9088,Felis catus,cat,27-June-2016,Caroline Marschner & Robert Heger,
AL1064,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Felis catus,cat,01-April-2016,Ettore Napoli,
AL1065,unprocessed,Ctenocephalides felis,felis,3,1,2,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Felis catus,cat,01-April-2016,Ettore Napoli,
AL1066,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Felis catus,cat,01-April-2016,Ettore Napoli,
AL1068,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Felis catus,cat,01-April-2016,Ettore Napoli,
AL107,unprocessed ,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Qamea Island,unknown,-16.7646,-179.7615,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL1070,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Canis lupus familiaris,dog,01-April-2016,Ettore Napoli,
AL1071,unprocessed,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Canis lupus familiaris,dog,01-April-2016,Ettore Napoli,
AL1072,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Canis lupus familiaris,dog,01-April-2016,Ettore Napoli,
AL1073,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Canis lupus familiaris,dog,01-April-2016,Ettore Napoli,
AL1074,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Canis lupus familiaris,dog,01-April-2016,Ettore Napoli,
AL1075,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Canis lupus familiaris,dog,01-April-2016,Ettore Napoli,
AL1076,unprocessed,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Canis lupus familiaris,dog,01-April-2016,Ettore Napoli,
AL1078,unprocessed,Ctenocephalides felis,felis,2,0,2,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Felis catus,cat,01-April-2016,Ettore Napoli,
AL1079,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Canis lupus familiaris,owned dog,01-April-2016,Ettore Napoli,
AL108,unprocessed ,Ctenocephalides felis,felis,3,3,0,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Taveuni Island,unknown,-16.8414,-179.9813,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL1080,unprocessed,Ctenocephalides canis,,2,2,0,0,0,0,0,0,,,,,,,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1081,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1082,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1083,unprocessed,Ctenocephalides canis,,3,2,1,0,0,0,0,0,,,,,,,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1084,unprocessed,Ctenocephalides canis,,3,3,0,0,0,0,0,0,,,,,,,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1085,unprocessed,Ctenocephalides canis,,2,2,0,0,0,0,0,0,,,,,,,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1086,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1087,unprocessed,Ctenocephalides canis,,3,3,0,0,0,0,0,0,,,,,,,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1088,unprocessed,Ctenocephalides canis,,2,1,1,0,0,0,0,0,,,,,,,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1089,unprocessed,Ctenocephalides canis,,3,3,0,0,0,0,0,0,,,,,,,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL109,unprocessed ,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Taveuni Island,unknown,-16.8414,-179.9813,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
